ИНДЕКС;УН;№ ВЕРХ;№ НИЗ;Поставщик;Категория ВЕРХ;Группа;Наименование ВЕРХ;Наименование НИЗ;Доп. описание;Аналог / гост / чертеж / альт. договор;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;СКЛАД;ДЕФИЦИТ;АКЗЧ;ДЕФ с уч. АКЗЧ;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;НАЛИЧИЕ НА СКЛАДЕ;Статус;ПРИОРИТЕТ ЗАКУПКИ;Дата доставки;Упаковочный;Столбец2;Ящик;Вес;Длина;Ширина;Высота
116;1;R3;1820.1.060;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пластина уплотнительная;;;PB0000013051;MBA__HB015G103;шт.;43;43;0;7;; € 20,80 ; € 894,52 ; € 13,00 ; € 559,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
117;1;R3;1820.1.061;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пластина уплотнительная;;;PB0000013053;MBA__HB016G103;шт.;43;43;0;7;; € 20,80 ; € 894,52 ; € 13,00 ; € 559,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
118;1;R3;1820.1.062;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 4-й ступени;Малые детали;Стопор;;;PB0000001823;MBA__HB044G005;шт.;44;44;0;80;; € 44,81 ; € 1 971,45 ; € 28,00 ; € 1 232,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
119;1;R3;1820.1.063;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 3-й ступени;Малые детали;Шпонка 15х15х15;;;PB0000000691;MBA__HB043G301;шт.;62;62;0;124;; € 19,20 ; € 1 190,55 ; € 12,00 ; € 744,00 ; В наличии ; Не будет поставлено ;0;19.07.2022;;;;;;;
120;1;R3;1820.1.064;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 3-й ступени;Малые детали;Стопор;;;PB0000001814;MBA__HB043G005;шт.;63;63;0;126;; € 40,01 ; € 2 520,32 ; € 25,00 ; € 1 575,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
121;1;R3;1820.1.065;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 1-й ступени;Малые детали;Шпонка 10х10х10;;;PB0000005891;MBA__HB041G301;шт.;176;;176;264;-88; € 14,40 ; € 2 534,73 ; € 9,00 ; € 1 584,00 ; Отсутствует ; Не будет поставлено ;1000;;;;;;;;
122;1;R3;1820.1.066;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 4-й ступени;Малые детали;Пластина стопорная;;;PB0000006296;MBA__HB044G006;шт.;88;88;0;176;; € 35,20 ; € 3 098,00 ; € 22,00 ; € 1 936,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
123;1;R3;1820.1.067;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 1-й ступени;Малые детали;Стопор;;;PB0000006140;MBA__HB041G005;шт.;89;;89;178;-89; € 12,80 ; € 1 139,35 ; € 8,00 ; € 712,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
124;1;R3;1820.1.068;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 1-й ступени;Малые детали;Стопор;;;PB0000006141;MBA__HB041G006;шт.;89;;89;178;-89; € 12,80 ; € 1 139,35 ; € 8,00 ; € 712,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
125;1;R3;1820.1.069;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 1-й ступени;Малые детали;Пластина стопорная;;;PB0000006153;MBA__HB041G010;шт.;89;;89;178;-89; € 25,60 ; € 2 278,69 ; € 16,00 ; € 1 424,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
126;1;R3;1820.1.070;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 2-й ступени;Малые детали;Стопор;;;PB0000005892;MBA__HB042G005;шт.;89;;89;178;-89; € 12,80 ; € 1 139,35 ; € 8,00 ; € 712,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
127;1;R3;1820.1.071;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 2-й ступени;Малые детали;Стопор;;;PB0000005893;MBA__HB042G006;шт.;89;;89;178;-89; € 12,80 ; € 1 139,35 ; € 8,00 ; € 712,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
128;1;R3;1820.1.072;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 2-й ступени;Малые детали;Пластина стопорная;;;PB0000005896;MBA__HB042G010;шт.;89;;89;178;-89; € 25,60 ; € 2 278,69 ; € 16,00 ; € 1 424,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
129;1;R3;1820.1.073;ЗТСР (Х/1820/2021);Малые детали;внутренний корпус, крепёж переходной оболочки;Малые детали;Элемент стопорный;;;PB0000007899;-;шт.;1;;1;;1; € 1 152,15 ; € 1 152,15 ; € 720,00 ; € 720,00 ; Отсутствует ; Ожидается ;500;;;;;;;;
130;1;R3;1820.1.074;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000007855;-;шт.;2;2;0;;; € 148,82 ; € 297,64 ; € 93,00 ; € 186,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
131;1;R3;1820.1.075;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000007886;-;шт.;4;4;0;;; € 232,03 ; € 928,12 ; € 145,00 ; € 580,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
132;1;R3;1820.1.076;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000207531;-;шт.;8;8;0;;; € 315,24 ; € 2 521,92 ; € 197,00 ; € 1 576,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
133;1;R3;1820.1.077;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000208206;-;шт.;8;8;0;;; € 147,22 ; € 1 177,75 ; € 92,00 ; € 736,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
134;1;R3;1820.1.078;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000209130;-;шт.;8;8;0;;; € 168,02 ; € 1 344,17 ; € 105,00 ; € 840,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
135;1;R3;1820.1.079;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пластина;;;PB0000007917;-;шт.;4;4;0;;; € 420,85 ; € 1 683,42 ; € 263,00 ; € 1 052,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
136;1;R3;1820.1.080;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт;;;PB0000007860;-;шт.;4;4;0;;; € 9,60 ; € 38,40 ; € 6,00 ; € 24,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
